id,title,owner_org,maintainer,Extensão geográfica,Série histórica,groups,Tipo de armazenamento,Formato do arquivo,Sistema Gerenciador de Banco de Dados,Ambiente de produção,name,notes,tags,Histórico,Procedência de dados,Periodicidade,Situação do processo,Nível de desagregação,Lacunas identificadas pela unidade produtora,Tipo(s) de representação,Escala (apenas  para representação vetorial ou matricial),Sistemas de referência / projeção cartográfica,Base cartográfica utilizada,Extensão do arquivo/formato/software,"Existe(m), nesta base de dados, informação(ões) classificada(s) em algum grau de sigilo?",Forma(s) de disponibilização,url,Endereço e procedimentos para acesso,,,,,,
385,COBRANÇA AMIGÁVEL,IPREM,SETOR DE COBRANÇA AMIGÁVEL,Município,DESDE 12/2011,"pessoas, família e sociedade",Banco de dados,0,VISUAL BASIC,WINDOWS SERVER 2003/VISUAL BASIC 6.0,COBRANÇA AMIGÁVEL,"NÚMERO DO PROCESSO ADMINISTRATIVO, DADOS PESSOAIS DOS DEVEDORES, VALOR, PERÍODO, MOTIVO DA PROCEDÊNCIA DÍVIDA, DADOS RELATIVOS AOS ACORDOS PARA PAGAMENTO DO DÉBITO","DÍVIDA, DÉBITO, DEVEDOR, ACORDO",CRIADO EM 12/2011 PARA ACOMPANHAMENTO DOS PROCESSOS DE DÉBITOS DO IPREM,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,VB," SIM (Conforme Lei Federal n. 12.527/2011 (especialmente o art. 23) www.goo.gl/Xk4co , Decreto Municipal n. 53.623/2012 www.goo.gl/O7nUHq e Decreto Municipal n. 54.779/2014 www.goo.gl/7vycsk )",Rede local,0,"E-MAIL: ipremgab@prefeitura.sp.gov.br
CONTATO: Douglas Brandalise, Suzana Aparecida Vier e Rosirene Bonesso Montañes",,,,,,
386,NOVO SGA V 0.7.2,IPREM,DIVISÃO TECNICA DE ATENDIMENTO E RELACIONAMENTO,Município,DESDE 07/2013,"pessoas, família e sociedade",Banco de dados,0,MySQL,LINUX,NOVO SGA V.07.2,"CONTÉM A DESCRIÇÃO DO TIPO DE ATENDIMENTO, DATA, HORÁRIO DE INÍCIO E FIM DO ATENDIMENTO E QUEM EFETUOU O ATENDIMENTO","ATENDIMENTO, PENSÃO, TEMPO","SISTEMA UTILIZADO NA PRAÇA DE ATENDIMENTO, DESDE 07/2013, POR RECOMENDAÇÃO/ORIENTAÇÃO DE SEMPLA",cadastro ou registro administrativo,diário,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,LINUX / MYSQL,NÃO,Rede local,0,"E-MAIL: ipremgab@prefeitura.sp.gov.br
CONTATO: Douglas Brandalise, Suzana Aparecida Vier e Rosirene Bonesso Montañes",,,,,,
387,ECONSIG,IPREM,DIVISÃO DE ASSUNTOS INTERNOS,Município,DESDE 2008,economia e finanças,Banco de dados,0,SQL Server 2005,RED HAT ENTERPRISE LINUX SERVER RELEASE 5 (TIKANGA),ECONSIG,"CONTÉM DADOS PESSOAIS E VALORES REMUNERATÓRIOS DOS PENSIONISTAS E SERVIDORES ATIVOS E INATIVOS DO IPREM E DADOS DAS ENTIDADES CONSIGNATÁRIAS, TAIS COMO: RAZÃO SOCIAL, ENDEREÇO, REPRESENTANTE","CONSIGNAÇÃO, EMPRÉSTIMO, BANCOS",CRIADO EM 2008 PARA CONTROLE DOS DESCONTOS OCORRIDOS NA FOLHA DE PAGAMENTO RELATIVOS AOS EMPRÉSTIMOS CONCEDIDOS,cadastro ou registro administrativo,diário,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS SQL Server," SIM (Conforme Lei Federal n. 12.527/2011 (especialmente o art. 23) www.goo.gl/Xk4co , Decreto Municipal n. 53.623/2012 www.goo.gl/O7nUHq e Decreto Municipal n. 54.779/2014 www.goo.gl/7vycsk )",Internet,www.ipremconsig.prefeitura.sp.gov.br,"E-MAIL: ipremgab@prefeitura.sp.gov.br
CONTATO: Douglas Brandalise, Suzana Aparecida Vier e Rosirene Bonesso Montañes",,,,,,
388,COMPREV_DIG,IPREM,SETOR DE COMPENSAÇÃO PREVIDENCIÁRIA,Município,DESDE 2003,"pessoas, família e sociedade",Banco de dados,0,DATAPREV,INTERNET/INTRANET,COMPREV_DIG,"CONTÉM DADOS PESSOAIS DOS SERVIDORES APOSENTADOS, VALORES DE COMPENSAÇÃO PREVIDENCIÁRIA E DOCUMENTOS RELATIVOS À CONCESSÃO DA APOSENTADORIA E CERTIDÃO DE TEMPO DE CONTRIBUIÇÃO AO RGPS AVERBADO, DIGITALIZADOS","COMPREV, CTC, COMPENSAÇÃO, RPPS, RGPS","CRIADO PELO MINISTÉRIO DA PREVIDÊNCIA (DATAPREV) PARA OPERACIONALIZAR A COMPENSAÇÃO PREVIDENCIÁRIA ENTRE O RGPS E OS RPPSs DOS SERVIDORES APOSENTADOS DESDE 05/10/1988 DA UNIÃO, ESTADOS E MUNICÍPIOS, CONTENDO VÁRIOS MÓDULOS, EM ATENÇÃO À LEI 9.796, DE 05/05/1999.",cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,DATAPREV," SIM (Conforme Lei Federal n. 12.527/2011 (especialmente o art. 23) www.goo.gl/Xk4co , Decreto Municipal n. 53.623/2012 www.goo.gl/O7nUHq e Decreto Municipal n. 54.779/2014 www.goo.gl/7vycsk )",Internet,www6.dataprev.gov.br/cv3,"E-MAIL: ipremgab@prefeitura.sp.gov.br
CONTATO: Douglas Brandalise, Suzana Aparecida Vier e Rosirene Bonesso Montañes",,,,,,
15,publicidade,SECOM,Coordenadoria de Administração e finanças,Nacional,2013 até o momento,"ciência, informação e comunicação",Arquivo de dados,.xls (MS EXCEL),0,excel 2003,Publicidade,Campanhas publicitárias,"tv, rádio, informação, mídia, anúncio",A partir de 2013 foram registradas as campanhas publicitárias em função de uma demanda do Ministério Público.,cadastro,semanal,ativo,Município,"De 2010 a 2013 temos uma lacuna
Falta do dado.","alfanumérica (textos, números - p.ex. tabelas)",0,nenhum,0,"XLS, DOC",SIM,rede local,0,"Rua Zachi Narki, 536 
Departamento de Licitações
das 9 ás 18h",,,,,,
16,publicidade legal,SECOM,Coordenação de Administração e Finanças,Região Metropolitana de São Paulo,2013 até o momento,"ciência, informação e comunicação",Arquivo de dados,.xls (MS EXCEL),0,excel 2003,publicidade legal,publicações de editais e outros anúncios de teor legal,publicidade legal,"Anúncios legais conforme necessidade da Prefeitura do Municipio de São Paulo em tornar públicos avisos, licitações, editais, atas e outros.",cadastro ou registro administrativo,semestral,ativo,Subprefeitura,anterior a 2013,"alfanumérica (textos, números - p.ex. tabelas)",0,Não sei,Não sei,XLS,NÃO,"Internet, Impresso",http://www.capital.sp.gov.br/portal/,"Secretaria Executiva de Comunicação 
Viaduto do Chá, 15 - 6º andar - Gabinete",,,,,,
17,Central de Atendimento Telefonico - 156,SECOM,Coordenadoria de Administração e Finanças,Município,2013 até o momento,"ciência, informação e comunicação",Arquivo de dados,".xls (MS EXCEL), .pdf (Adobe)",0,"excel 2013, pdf",central de atendimento te,"Empresa especializada na prestação de serviços técnicos necessário à implantação de procedimentos, operação e gestão continuada de central de atendimento telefônico, ativa e receptiva, exclusiva para a Prefeitura de São Paulo, abrangendo todos os recursos necessários à sua operacionalização, incluindo conexão com os sistemas aplicativos hospedados na PRODAM, para consulta às informações e registros das solicitações recebidas.","central telefonica, call center",Necessidade de criar e manter número único para centralizar o atendimento ao munícipe de São Paulo quando este busca informações.,cadastro ou registro administrativo,anual,ativo,Município,anterior a 2013,"alfanumérica (textos, números - p.ex. tabelas)",0,Não sei,Não sei,XLS,NÃO,Impresso,0,"Secretaria Executiva de Comunicação 
Viaduto do Chá, 15 - 6º andar - Gabinete",,,,,,
18,Loteamentos Irregulares,SEHAB,Coordenadoria de Regularização Fundiária Cadastro,Município,desde 2005,"habitação, saneamento e urbanismo",Arquivo de dados,.shp (ArcGIS),0,"Mapinfo, Quantum Gis", -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
19,Sisprel,SEHAB,Coordenadoria de Rgularização Fundiária Cadastro,Município,desde 1979,"habitação, saneamento e urbanismo",Banco de dados,0,SQL Server 2005,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
20,Regularização Fundiária de Áreas Públicas,SEHAB,Divisão Técnica de Regularização FUndiária de Áreas Públicas,Município,desde 2003,"habitação, saneamento e urbanismo",Arquivo de dados,.xls (MS EXCEL),0,Pasta de Dados Excel, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
21,Favelas,SEHAB,HABISP,Município,de 2007 ate atual,"habitação, saneamento e urbanismo",Banco de dados,0,"SQL Server 2005, Postgresql","Windows Server 2003, Linux Debian versao 7.0",Favelas,"Esta base contém os perímetros das favelas  cadastrados pela SEHAB, nome, endereço, ano de implantação e estimativa do número de domicílios entre outros.","Habitação, Favela, Ocupação Irregular","2007 - Foi criada a 1ª versão do layer de favelas no HABISP, colocando na mesma base todas as favelas cadastradas por SEHAB. As áreas são cadastras é atualiazadas conforme necessidade/ demanda.",cadastro ou registro administrativo,eventual,ativo,Domicílios,Não há atualização periódica do número de domicílios em todas as áreas (a atualização é feita conforme eventualidade da vistoria). O desenho dos perímetros ocupados são baseados nas fotos aéreas disponíveis.,"alfanumérica (textos, números - p.ex. tabelas), matricial (pixel - p.ex. imagens digitais), vetorial (coordenadas - p.ex. mapas)",'1:1000,SAD 69 / UTM,"MDC (Mapa Digital da Cidade), SABESP",HABISP,NÃO,Internet,http://www.habisp.inf.br,Acessar o site acima.,,,,,,
22,Núcleos,SEHAB,HABISP,Município,de 2007 até atual,"habitação, saneamento e urbanismo",Banco de dados,0,"SQL Server 2005, Postgresql","Server 2003, Linux Debian versao 7.0",Núcleos,"Esta base contém os perímetros dos núcleos habitacionais cadastrados pela SEHAB, nome, endereço, ano de implantação e estimativa do número de domicílios entre outros.","Habitação, Favela, Ocupação Irregular","2007 - Foi criada a 1ª versão do layer de favelas no HABISP, colocando na mesma base todos os núcleoas habitacionais cadastrados por SEHAB. As áreas são cadastras e atualiazadas conforme necessidade/ demanda.",cadastro ou registro administrativo,eventual,ativo,Domicílios,Não há atualização periódica do número de domicílios em todas as áreas (a atualização é feita conforme eventualidade da vistoria). O desenho dos perímetros ocupados são baseados nas fotos aéreas disponíveis.,"alfanumérica (textos, números - p.ex. tabelas), matricial (pixel - p.ex. imagens digitais), vetorial (coordenadas - p.ex. mapas)",'1:1000,SAD 69 / UTM,"MDC (Mapa Digital da Cidade), SABESP",HABISP,NÃO,Internet,http://www.habisp.inf.br,Pelo site acima.,,,,,,
23,Cortiços,SEHAB,HABISP,Município,de 2007 até atual,"habitação, saneamento e urbanismo",Banco de dados,0,"SQL Server 2005, Postgresql","Server 2003, Linux Debian versao 7.0",Cortiços,Mapeamento de cortiços na Região Central.,"Habitação, Cortiço, Ocupação Irregular",Desde 2007 com o mapeamento de alguns cortiços na área central.,cadastro ou registro administrativo,única (realizado apenas uma vez),inativo,Domicílio,"Dados mapeados por endereço, sem vistoria.","alfanumérica (textos, números - p.ex. tabelas), vetorial (coordenadas - p.ex. mapas)",'1:1000,SAD 69 / UTM,"MDC (Mapa Digital da Cidade), SABESP 2003",HABISP,NÃO,Internet,http://www.habisp.inf.br,No endereço acima.,,,,,,
24,Favelas,SEHAB,HABI 1,Município,de 1988 até 1997,"habitação, saneamento e urbanismo",Banco de dados,0,DBase,DOS,Favelas,"Esta base contém os perímetros das favelas cadastrados pela SEHAB, nome, endereço, ano de implantação e estimativa do número de domicílios entre outros.","Habitação, Favela, Ocupação Irregular","Criado em 1988 baseado no CENSO de favelas de 1987.
Ativo até 1997, quando foi convertido para Microsoft Access.",cadastro ou registro administrativo,eventual,inativo,Domicílio,Não havia atualização periódica do número de domicílios e dos desenhos dos perímetros em todas as áreas (a atualização é feita conforme eventualidade da vistoria).,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Dbase,NÃO,Impresso,0,Biblioteca da SEHAB.,,,,,,
25,Favelas,SEHAB,HABI 1,Município,de 1997 até 2007,"habitação, saneamento e urbanismo",Banco de dados,0,Microsoft Access,Windows,Favelas,"Esta base contém os perímetros das favelas  cadastrados pela SEHAB, nome, endereço, ano de implantação e estimativa do número de domicílios entre outros.","Habitação, Favela, Ocupação Irregular","1997 - Base DBASE convertida para Access.
2002 - Convênio com o CEM, permitiu digitalização e atualização das bases de favelas.",cadastro ou registro administrativo,eventual,inativo,Domicílio,Base cartográfica desenhada no GEOLOG sem a disponibilidade de foto aérea digitalizada (pesquisa manual).,"alfanumérica (textos, números - p.ex. tabelas), vetorial (coordenadas - p.ex. mapas)",escala do GEOLOG,Córrego Alegre,GEOLOG,"Maptitude (DBD), MS Access",NÃO,"Mídia digital (CD, DVD, pendrive)",0,Biblioteca da SEHAB.,,,,,,
26,Produção de Unidades Habitacionais,SEHAB,HABISP,Município,de 2013 até atual,"habitação, saneamento e urbanismo",Banco de dados,0,"SQL Server 2005, Postgresql","Windows Server 2003, Linux Debian versão 7.0",Produção de Unidades Habitacionais,"Contém a localização, programa, número de unidades habitacionais, origem do recurso, previsão de entrega (ano) e o status da obra.","Habitação, Empreendimentos, Programa de Metas",Criado em 2013 em decorrência do acompamento do Programa de Metas. O banco de dado é atualizado conforme demanda e mudança no status da obra.,cadastro ou registro administrativo,contínuo,ativo,Lote,0,"alfanumérica (textos, números - p.ex. tabelas), vetorial (coordenadas - p.ex. mapas)",'1:1000,SAD 69 / UTM,MDC (Mapa Digital da Cidade),"QuantumGIS, HABISP"," SIM (Conforme Lei Federal n. 12.527/2011 (especialmente o art. 23) www.goo.gl/Xk4co , Decreto Municipal n. 53.623/2012 www.goo.gl/O7nUHq e Decreto Municipal n. 54.779/2014 www.goo.gl/7vycsk )",Internet,http://www.habisp.inf.br,No endereço acima.,,,,,,
27,Perímetros de Ação Integrada (PAIs),SEHAB,HABISP,Município,2009,"habitação, saneamento e urbanismo",Banco de dados,0,"SQL Server 2005, Postgresql","Windows Server 2003, Linux Debian versão 7.0",Perímetro de Ação Integrada,Localização dos perímetros.,"Habitação, PMH, Favela, Loteamento, Ocupação Irregular",Surgiu junto com a elaboração do Plano Municipal da Habitação (PMH) a fim de integrar as ações/ intervenções baseado nas Bacias Hidrográficas e nos assentamentos.,"projeto (viário, urbanístico, arquitetônico)",única (realizado apenas uma vez),inativo,Assentamento,Falta de padronização nos mapeamentos pelas regionais.,"alfanumérica (textos, números - p.ex. tabelas), matricial (pixel - p.ex. imagens digitais), vetorial (coordenadas - p.ex. mapas)",'1:1000,SAD 69 / UTM,"MDC (Mapa Digital da Cidade), SABESP 2003",HABISP,NÃO,"Internet, Impresso",http://www.habisp.inf.br,Plano Municipal da Habitação e o endereço acima.,,,,,,
28,BDT e ficha técnica,SEL,INFO 4,Município,desde 2001,"habitação, saneamento e urbanismo, planejamento e cadastro",Banco de dados,0,OracleDB,Windows,BDT,"Boletim de dados técnicos, informa os dados básicos para a analise dos projetos autuados na secretaria. (ex. zonemamento, tombamentos, loteamento, gabarito e etc)","BDT, informações do lote",0,relatório,contínuo,ativo,Lote,0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Oracle,NÃO,Intranet,0,"Rua Libero Badaró 405, 23° andar 
Atendimento ao público 3ª,4ª,5ª e 6ª feiras, das 13:00 até as 16:30.",,,,,,
29,CEDI (cadastro de edificações),SEL,INFO 3,Município,desde 1980,planejamento e cadastro,Banco de dados,0,apartir de 2008 OracleDB,Windows,CEDI,Cadastro de Edificações - atesta a situação do imóvel perante a legislação edilícia,"Edificação Regular, Edificação Irregular",Foi criado em 1977,cadastro ou registro administrativo,contínuo,ativo,Lote,0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Oracle,NÃO,Intranet,www.prefitura.sp.gov.br/cidade/secretarias/licenciamentos,"Rua Libero Badaró, nº 405, 23 º andar, sala 233
Atendimento ao publico de 3ª, 4ª, 5ª e 6ª feiras, das 13:30 atá as 16:30.",,,,,,
30,SISACOE,SEL,Secretaria Municipal de Licenciamento,Município,desde 1997,"habitação, saneamento e urbanismo, planejamento e cadastro",Banco de dados,0,0,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
31,SisdocNovo.mdb,SEL,SEGUR,Município,desde 2004,planejamento e cadastro,Banco de dados,0,Microsoft Access,windows xp, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
32,Sistanque,SEL,SEGUR,Município,2008,planejamento e cadastro,Banco de dados,0,Microsoft Access,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
33,IEOS,SEL,SEGUR,Município,2010,planejamento e cadastro,Banco de dados,0,Microsoft Access,windows,IEOS,"Itens das intimações para execução de obras e serviços, identificação dos imóveis, vinculados às datas e processos de Segurança",IEOS,0,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS Access,NÃO,Rede local,0,Consulta à Prodam,,,,,,
34,ficha,SEL,SEGUR,Município,2005,planejamento e cadastro,Banco de dados,0,Microsoft Access,windows,Fichas,Histórico e cadastro de documentos e processos,FICHAS,0,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS Access,NÃO,Rede local,0,Consulta à PRODAM,,,,,,
35,FICAM,SEL,SEGUR,Município,2005,planejamento e cadastro,Banco de dados,0,Microsoft Access,windows,FICAM,Cadastro e geração de Documento de manutenção de imóveis que obtiveram  AVS,FICAM,0,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não sei,MS Access,NÃO,Rede local,0,Consulta à Prodam,,,,,,
36,CADLORE,SEL,SEGUR,Município,2001,planejamento e cadastro,Banco de dados,0,Microsoft Access,WINDOWS,Cadlore,Cadastro do Locais de Reunião,CADLORE,0,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS Access,NÃO,Rede local,0,Consulta à Prodam,,,,,,
37,PROCESSOS,SEL,SEGUR,Município,2008,planejamento e cadastro,Banco de dados,0,MySQL,WINDOWS, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
38,Biblio,SEME,CEDOC,Nacional e Internacional,37226,"cultura, esportes, lazer",Arquivo de dados,XML,0,Windows/Internet,Biblio,"Disponibilizar informações relativas ao acervo de livros, teses, folhetos, fitas de vídeo, CDROM, DVD e pastas/caixas temáticas da biblioteca de SEME","livros, teses, acervo, biblioteca, DVDs","Criado em dezembro de 2001 para registrar, processar, dissiminar e armazenar o acervo de livros da biblioteca da SEME",cadastro ou registro administrativo,mensal,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Winsis/XML/Aplicação ASP/IIS,NÃO,Internet,www4.prefeitura.sp.gov.br/seme/cedoc/livros,"Centro de documentação e Biblioteca - CEDOC/SEME - Alameda Iraé, 35 - Indianópolis - CEP: 04075-000 - Das 9 às 18 horas",,,,,,
39,Artigo,SEME,CEDOC,Município,37288,"cultura, esportes, lazer",Arquivo de dados,XML,0,Windows/Internet,Artigo,Disponibilizar informações relativas aos artigos e separatas relativos a esporte que compõem o acervo da biblioteca da SEME,"artigos, separatas, esporte, lazer, recreação","Criado em fevereiro de 2002 para registrar, processar, disseminar e armazenar os artigos e separatas sobre esportes da biblioteca da SEME",cadastro ou registro administrativo,mensal,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,winisis/XNL/Aplicação ASP/IIS,NÃO,Internet,www4.prefeitura.sp.gov.br/seme/cedoc/artigos,"Centro de Documentação e Biblioteca - CEDOD/SEME
Alameda Iraé, 35 - Indianópolis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
40,Legis,SEME,CEDOC,Brasil,37257,"cultura, esportes, lazer",Arquivo de dados,XML,0,Windows/Internet,Legis,"Disponibilizar informações relativas à legislação municipal, estadual e federal relacionada à SEME (leis, decretos, portarias, despachos, ordens internas, pareceres, resoluções entre outros.","legislação, lei, decreto, portarias, resoluções","Criado em janeiro de 2002 para registrar, processar, disseminar e armazenar informações sobre a legislação municipal relacionada à SEME.",cadastro ou registro administrativo,mensal,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,winisis/XML/Aplicação ASP/IIS,NÃO,Internet,www4.prefeitura.sp.gov.br/seme/cedoc/legis,"Centro de Documentação e Biblioteca - CEDOC/SEME
Alameda Iraé, 35 - Indianópolis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
41,Period,SEME,CEDOC,Município,37347,"cultura, esportes, lazer",Arquivo de dados,XML,0,Windows/Internet,Period,Disponibilizar informações relativas aos títulos de periódicos da biblioteca de SEME,"periódicos, títulos, esporte, educação física",Criado em 2002 para substituir o fichário manual com informações dos periódicos da biblioteca da SEME,cadastro ou registro administrativo,mensal,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,winisis/XML/Aplicação ASP/IIS,NÃO,Internet,www4.prefeitura.sp.gov.br/seme/cedoc/periodicos,"Centro de Documentação e Biblioteca
Alameda Iraé. 35 - Indianópolis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
42,Secret,SEME,CEDOC,Município,38292,"cultura, esportes, lazer",Arquivo de dados,".pdf (Adobe), WINISIS",0,Windows/Internet,Secret,Informações relativas aos Secretários de Esportes da PMSP,"Secretários de Esportes, História da SEME, dados Bibliográficos, período de gestão",Criada em novembro de 2004 para registro de informações sobre os secretários de esporte da PMSP,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)","Nome, ano e período disponíveis na internet, demais dados através de consulta ao CEDOC","alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,DOCUMENTOS DIVERSOS,NÃO,Intranet,www.prefeitura.sp.gov.br/cidade/secretarias/upload/chamadas/lista-de-secretarios-seme 1395317881.pdf,"Centro de Documentação e Biblioteca
Alameda Iraé, 35 - Indianópolis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
43,UnSeme,SEME,CEDOC,Município,38657,"cultura, esportes, lazer",Arquivo de dados,WINISIS,0,Windows,UnSeme,Informações sobre as unidades esportivas da SEME,"Unidades da SEME, Unidades Esportivas, Centros de Esporte, Balneários, Estádios",Criado em 2007 para registro de informações sobre as unidades da SEME,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Winisis,NÃO,"Mídia digital (CD, DVD, pendrive)",0,"Centro de Documentação e Biblioteca - CEDOC/SEME
Alameda Iraé, 35 - Indianópolis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
44,Reunião da Sete,SEME,CEDOC,Município,2001 a 2011,"cultura, esportes, lazer",Arquivo de dados,MS ACCESS,0,MS ACCESS 97,Reunião das sete,Consulta ao conteúdo das reuniões semanais das 7 horas encabeçada pelo Secretário Walter Feldman no período de 2007 a 2011,"Reunião das 7 horas, Esporte, Lazer, Recreação",Desenvolvido em 2007 pelo CEDOC para divulgação do conteúdo das reuniões da 7 horas da manhã.,cadastro ou registro administrativo,semanal,inativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",Disponível no período de 2007 a 2011,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Aplicação .NET/IIS,NÃO,Internet,www4.prefeitura.sp.gov.br/seme/cedoc/R7,"Centro de Documentação e Biblioteca - CEDOC/SEME
Alameda Iraé, 35 - Indianópólis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
45,Produção Científica,SEME,CEDOC,Município,A PARTIR DE 22/07/2009,"cultura, esportes, lazer",Arquivo de dados,MS ACCESS,0,MS Access 97/Internet,Produção Científica,Site para registro e consulta da produção científica desenvolvida em SEME ou sobre a SEME,"Produção científica, SEME, Memória Organizacional",Desenvolvido em 2009 pelo CEDOC para registrar e disponibilizar a produção científica da SEME,cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",Trabalho disponível para o público conforme restrições do autor (completo e irrestrito/restrito a resumo e descritores/restrito a citação do trabalho),"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Aplicação .NET/IIS,NÃO,Internet,www4.prefeitura.sp.gov.br/seme/cedoc/producaocientifica,"Centro de Documentação e Biblioteca - CEDOC/SEME
Alameda Iraé, 35 - Indianópolis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
46,Revista Digital,SEME,CEDOC,Estadual,40087,"cultura, esportes, lazer",Banco de dados,0,MySQL,Linus/PHP/Internet,Revista Digital,Revista digital do CEDOC com conteúdo técnico e científico voltado para a pesquisa e conhecimento na parea de esportes,"Revista, revista digital, esportes, edição, artigo",Criada em 2009 para disseminação dos trabalhos da SEME e de outros na área de esportes e educação física,cadastro ou registro administrativo,semestral,ativo,Edição,Sensível a ataques externos está em fase de migração para uma nova plataforma de desenvolvimento,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,Joomla/PHP/Apache/JBOSS,NÃO,Internet,www.revistacedocseme.prefeitura.sp.gov.br,"Centro de Documentação e Biblioteca - CEDOC/SEME
Alameda Iraé, 35 - Indianópolis - CEP: 04075-000
Das 9 às 18 horas",,,,,,
47,CadAtleta,SEME,CGEA,Município,A PARTIR DE 2005,"cultura, esportes, lazer",Arquivo de dados,MS Access 97,0,MS Access 97/Intranet,CadAtleta,"Gerenciamento dos atletas (alunos) do COTP, das turmas de aula, dos exames médicos e da emissão de vale-tranporte","COTP, alunos, atletas, CGEA, vale-transporte",Criado para aprimorar e integrar o controle de alunos do COTP que era feito em Access e Excel (vale-transporte),cadastro ou registro administrativo,contínuo,ativo,"Registro individual ou pontual (pessoa, estabelecimento, objeto, ponto etc.)",Dados disponíveis a partir de 2005,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,"MS Access, VBA/Aplicação .NET/IIS",NÃO,Intranet,http://semegbc100/cgea/cuco,"SEME - CGEA
Av. Ibirapuera, 1315
Das 9 às 18 horas",,,,,,
